obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
128, 130.5, 197140, 306698, 613000, 438635, 218871, 1267341, 1311, 91705, 76, 66, NA, 3134701,  X
129, 131.5, 258578, 519448, 625554, 1840, 107165, 491, 353748, 704876, 41, 62, NA, 2571700,  X
130, 132.5, 2397096, 515210, 346043, 707540, 167070, 163859, 130027, 287105, 37, 62, NA, 4713950,  X
131, 133.5, 144017, 1054770, 47103, 84846, 122233, 274404, 17078, 217472, 57, 57, NA, 1961923,  X
132, 134.5, 441790, 20088, 33569, 6982, 55714, 226069, 23892, 8240, 37, 16, NA, 816344,  X
133, 135.5, 307179, 35563, 13748, 106570, 757017, 1172842, 659319, 7625, 50, 22, NA, 3059863,  X
134, 136.5, 837202, 463916, 283520, 116, 5360, 449955, 11543, 214070, 36, 74, NA, 2265682,  X
135, 137.6, 481781, 862644, 948932, 864668, 82240, 60089, 4292, 541486, 31, 61, NA, 3846132,  X
136, 138.6, 63611, 260174, 92913, 314009, 1653080, 195947, 57542, 66781, 74, 64, NA, 2704057,  X
137, 139.6, 298932, 48180, 130314, 158343, 795922, 63682, 223823, 724684, 53, 71, NA, 2443880,  X
138, 140.6, 10357, 552313, 115047, 99606, 61808, 80482, 701638, 221876, 61, 24, NA, 1843127,  X
139, 141.6, 1617467, 40596, 20885, 979645, 144607, 70824, 50570, 440234, 67, 73, NA, 3364828,  X
140, 142.6, 811725, 620137, 53965, 17991, 702345, 919, 14087, 111550, 82, 23, NA, 2332719,  X
141, 143.6, 143690, 653954, 407, 594667, 629300, 401541, 2510, 25296, 35, 32, NA, 2451365,  X
142, 144.6, 33769, 153018, 324695, 381348, 12974, 107, 183576, 262785, 42, 38, NA, 1352272,  X
143, 145.6, 142826, 157712, 251185, 3270, 930951, 9864, 49226, 87141, 96, 47, NA, 1632175,  X
144, 146.7, 102194, 11035, 572702, 57654, 103511, 92902, 173745, 306989, 4, 95, NA, 1420732,  X
145, 147.7, 113534, 2333193, 53157, 1656025, 210999, 79799, 109405, 106239, 39, 74, NA, 4662351,  X
