obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
155, 157.8, 179983, 886, 2307, 258797, 1386097, 186282, 423656, 196767, 59, 79, NA, 2634775,  a*
156, 158.8, 360786, 33222, 123811, 87062, 66829, 801822, 168037, 31289, 25, 29, NA, 1672858,  a*
157, 159.8, 64384, 1915554, 603880, 841, 461011, 266866, 481134, 72737, 4, 61, NA, 3866407,  a*
158, 160.8, 54747, 879511, 833751, 4181, 456242, 154775, 848954, 774, 35, 62, NA, 3232935,  a*
159, 161.8, 6424, 2462, 990163, 1173414, 1116, 37960, 19805, 453937, 19, 64, NA, 2685281,  a*
160, 162.8, 260676, 27354, 23596, 743, 93542, 28456, 388387, 30904, 35, 50, NA, 853658,  a*
161, 163.8, 1416701, 277220, 219273, 77836, 288854, 1261295, 425483, 1175744, 82, 93, NA, 5142406,  a*
162, 164.8, 120432, 153323, 148667, 13769, 68327, 157102, 77718, 367993, 33, 90, NA, 1107331,  a*
163, 165.8, 852588, 225, 59282, 222885, 12061, 942306, 11349, 381662, 31, 100, NA, 2482358,  a*
164, 166.8, 7559, 358776, 1424, 309129, 1304161, 40171, 71353, 482864, 6, 3, NA, 2575437,  a*
165, 167.8, 2143944, 17530, 448062, 420057, 230630, 332516, 146789, 308458, 72, 88, NA, 4047986,  a*
166, 168.9, 14780, 194221, 30817, 12854, 3521, 1023595, 172330, 37898, 61, 8, NA, 1490016,  a*
167, 169.9, 759557, 298454, 3671313, 6219, 158386, 705186, 420821, 199645, 90, 8, NA, 6219581,  a*
168, 170.9, 188871, 114183, 184341, 17070, 20228, 74894, 124972, 410278, 91, 40, NA, 1134837,  a*
169, 171.9, 33137, 15403, 78189, 76882, 384735, 137449, 1186858, 36394, 71, 47, NA, 1949047,  a*
170, 172.9, 152757, 9483, 493804, 356, 760501, 6338, 26686, 197219, 88, 97, NA, 1647144,  a*
171, 173.9, 853603, 48241, 874, 552148, 303998, 1471620, 8359, 15776, 47, 13, NA, 3254619,  a*
172, 174.9, 177582, 401078, 39814, 69064, 172761, 176, 80855, 104752, 76, 36, NA, 1046082,  a*
173, 175.9, 87704, 1774008, 613432, 22759, 280035, 688, 423580, 116487, 13, 72, NA, 3318693,  a*
174, 177.0, 200739, 229891, 163916, 39541, 21875, 351790, 82923, 772142, 45, 6, NA, 1862817,  a*
175, 178.0, 294573, 95101, 1014, 6482, 9457, 3653, 17334, 207235, 48, 38, NA, 634849,  a*
176, 179.0, 1097, 40518, 19725, 547453, 168984, 7386, 506007, 197937, 52, 20, NA, 1489107,  a*
177, 180.0, 80687, 128217, 2141, 16758, 18843, 2606480, 112921, 393873, 24, 97, NA, 3359920,  a*
178, 181.0, 335850, 1203023, 13392, 315118, 339237, 1818105, 17055, 18131, 70, 21, NA, 4059911,  a
179, 182.0, 3185, 84239, 1110740, 131054, 82992, 4347, 98113, 739749, 27, 61, NA, 2254419,  a
180, 183.0, 535338, 44231, 1935, 455456, 66320, 166167, 509138, 1024292, 97, 72, NA, 2802877,  a
181, 184.0, 801727, 114119, 344257, 692351, 699, 136424, 26409, 566093, 88, 10, NA, 2682079,  a
